PassengerId,Survived,Sex,Age,Fare,Embarked,Title
758,0,male,18.0,11.5,S,0
759,0,male,34.0,8.05,S,0
760,1,female,33.0,86.5,S,3
761,0,male,30.0,14.5,S,0
762,0,male,41.0,7.125,S,0
763,1,male,20.0,7.2292,C,0
764,1,female,36.0,120.0,S,2
765,0,male,16.0,7.775,S,0
766,1,female,51.0,77.9583,S,2
767,0,male,9.0,39.6,C,3
768,0,female,30.5,7.75,Q,1
769,0,male,30.0,24.15,Q,0
770,0,male,32.0,8.3625,S,0
771,0,male,24.0,9.5,S,0
772,0,male,48.0,7.8542,S,0
773,0,female,57.0,10.5,S,2
774,0,male,30.0,7.225,C,0
775,1,female,54.0,23.0,S,2
776,0,male,18.0,7.75,S,0
777,0,male,30.0,7.75,Q,0
778,1,female,5.0,12.475,S,1
779,0,male,30.0,7.7375,Q,0
780,1,female,43.0,211.3375,S,2
781,1,female,13.0,7.2292,C,1
782,1,female,17.0,57.0,S,2
783,0,male,29.0,30.0,S,0
784,0,male,30.0,23.45,S,0
785,0,male,25.0,7.05,S,0
786,0,male,25.0,7.25,S,0
787,1,female,18.0,7.4958,S,1
788,0,male,8.0,29.125,Q,3
789,1,male,1.0,20.575,S,3
790,0,male,46.0,79.2,C,0
791,0,male,30.0,7.75,Q,0
792,0,male,16.0,26.0,S,0
793,0,female,21.0,69.55,S,1
794,0,male,30.0,30.6958,C,0
795,0,male,25.0,7.8958,S,0
796,0,male,39.0,13.0,S,0
797,1,female,49.0,25.9292,S,3
798,1,female,31.0,8.6833,S,2
799,0,male,30.0,7.2292,C,0
800,0,female,30.0,24.15,S,2
801,0,male,34.0,13.0,S,0
802,1,female,31.0,26.25,S,2
803,1,male,11.0,120.0,S,3
804,1,male,0.42,8.5167,C,3
805,1,male,27.0,6.975,S,0
806,0,male,31.0,7.775,S,0
807,0,male,39.0,0.0,S,0
808,0,female,18.0,7.775,S,1
809,0,male,39.0,13.0,S,0
810,1,female,33.0,53.1,S,2
811,0,male,26.0,7.8875,S,0
812,0,male,39.0,24.15,S,0
813,0,male,35.0,10.5,S,0
814,0,female,6.0,31.275,S,1
815,0,male,30.5,8.05,S,0
816,0,male,30.0,0.0,S,0
817,0,female,23.0,7.925,S,1
818,0,male,31.0,37.0042,C,0
819,0,male,43.0,6.45,S,0
820,0,male,10.0,27.9,S,3
821,1,female,52.0,93.5,S,2
822,1,male,27.0,8.6625,S,0
823,0,male,38.0,0.0,S,3
824,1,female,27.0,12.475,S,2
825,0,male,2.0,39.6875,S,3
826,0,male,30.0,6.95,Q,0
827,0,male,30.0,56.4958,S,0
828,1,male,1.0,37.0042,C,3
829,1,male,30.0,7.75,Q,0
830,1,female,62.0,80.0,S,2
831,1,female,15.0,14.4542,C,2
832,1,male,0.83,18.75,S,3
833,0,male,30.0,7.2292,C,0
834,0,male,23.0,7.8542,S,0
835,0,male,18.0,8.3,S,0
836,1,female,39.0,83.1583,C,1
837,0,male,21.0,8.6625,S,0
838,0,male,30.0,8.05,S,0
839,1,male,32.0,56.4958,S,0
840,1,male,30.0,29.7,C,0
841,0,male,20.0,7.925,S,0
842,0,male,16.0,10.5,S,0
843,1,female,30.0,31.0,C,1
844,0,male,34.5,6.4375,C,0
845,0,male,17.0,8.6625,S,0
846,0,male,42.0,7.55,S,0
847,0,male,30.0,69.55,S,0
848,0,male,35.0,7.8958,C,0
849,0,male,28.0,33.0,S,3
850,1,female,35.0,89.1042,C,2
851,0,male,4.0,31.275,S,3
852,0,male,74.0,7.775,S,0
853,0,female,9.0,15.2458,C,1
854,1,female,16.0,39.4,S,1
855,0,female,44.0,26.0,S,2
856,1,female,18.0,9.35,S,2
857,1,female,45.0,164.8667,S,2
858,1,male,51.0,26.55,S,0
859,1,female,24.0,19.2583,C,2
860,0,male,30.0,7.2292,C,0
861,0,male,41.0,14.1083,S,0
862,0,male,21.0,11.5,S,0
863,1,female,48.0,25.9292,S,2
864,0,female,21.0,69.55,S,1
865,0,male,24.0,13.0,S,0
866,1,female,42.0,13.0,S,2
867,1,female,27.0,13.8583,C,1
868,0,male,31.0,50.4958,S,0
869,0,male,30.0,9.5,S,0
870,1,male,4.0,11.1333,S,3
871,0,male,26.0,7.8958,S,0
872,1,female,47.0,52.5542,S,2
873,0,male,33.0,5.0,S,0
874,0,male,47.0,9.0,S,0
875,1,female,28.0,24.0,C,2
876,1,female,15.0,7.225,C,1
877,0,male,20.0,9.8458,S,0
878,0,male,19.0,7.8958,S,0
879,0,male,30.0,7.8958,S,0
880,1,female,56.0,83.1583,C,2
881,1,female,25.0,26.0,S,2
882,0,male,33.0,7.8958,S,0
883,0,female,22.0,10.5167,S,1
884,0,male,28.0,10.5,S,0
885,0,male,25.0,7.05,S,0
886,0,female,39.0,29.125,Q,2
887,0,male,27.0,13.0,S,3
888,1,female,19.0,30.0,S,1
889,0,female,21.0,23.45,S,1
890,1,male,26.0,30.0,C,0
891,0,male,32.0,7.75,Q,0
